strategy,budget_pct,n_contacted,cost,incremental_conversions,revenue,profit,roi_pct,avg_cate_targeted,avg_monetary
Conservative,0.1,20003,10001.5,2530.239829051,126511.99145255,116510.49145255,1164.93017499925,0.126493017499925,47415.510825876125
Balanced,0.25,50009,25004.5,4657.596800494,232879.84002469998,207875.34002469998,831.3517167897778,0.09313517167897778,52108.11563118638
Aggressive,0.5,100019,50009.5,6699.490742976999,334974.53714885,284965.03714885,569.8218081541506,0.06698218081541506,61319.52600485908
