Model,Qini AUC,Uplift@10,Uplift@20,Mean Uplift,Std Uplift
T-Learner,0.06894258079817236,0.05134916370760134,0.0440649839396513,0.031814832240343094,0.06577087938785553
S-Learner,0.08301154079010344,0.07099999999999995,0.05707296196027495,0.029820239171385765,0.02494426816701889
X-Learner,0.0791016160074387,0.06520996141971253,0.053646263307387754,0.03134468197822571,0.029167931526899338
R-Learner,0.0771575616966525,0.07353346109858272,0.04936085738585422,0.007908143103122711,0.01724095828831196
